name,category,language,primary_use,doc_quality_score,code_quality_score,popularity_estimate,improvement_potential,test_coverage_estimate,last_active,composite_improvement_score
PHASE,population_genetics,C,Haplotype reconstruction,4.05,4.76,7.3,7.06,2.5,active,63.17
BRAKER,annotation,Perl,Gene prediction pipeline,4.34,4.38,7.6,7.16,2.94,active,63.16
MaxBin,metagenomics,Perl,Genome binning,4.08,5.62,8.2,6.79,2.58,active,62.14
PRINSEQ,qc,Perl,Sequence quality control,5.47,5.26,9.1,6.45,2.78,active,60.45
Bismark,epigenomics,Perl,Bisulfite-seq alignment,5.37,4.04,8.8,7.05,4.59,active,60.19
RAxML,phylogenetics,C,Maximum likelihood trees,4.21,6.46,9.7,6.6,3.79,active,59.81
VCFtools,population_genetics,C++/Perl,VCF manipulation,5.3,5.01,9.7,6.79,4.49,active,59.49
MAKER,annotation,Perl,Genome annotation pipeline,3.96,5.36,8.2,6.98,4.84,active,58.76
LoFreq,variant_calling,C,Low-frequency variant caller,4.18,6.78,9.4,6.4,3.7,active,58.52
PhyML,phylogenetics,C,Maximum likelihood,4.18,5.88,8.8,6.73,4.83,active,57.76
Prokka,annotation,Perl,Prokaryotic annotation,4.92,5.27,8.5,6.6,4.58,active,57.27
Bowtie2,alignment,C++,Fast read alignment,4.7,5.9,9.7,6.64,5.2,active,57.2
STRUCTURE,population_genetics,C,Population structure,4.46,5.58,8.8,6.74,5.44,active,56.6
DIAMOND,alignment,C++,Fast protein alignment,5.58,5.36,8.2,6.17,3.6,active,56.38
Skewer,qc,C++,Adapter trimming,5.33,5.49,8.5,6.29,4.27,active,56.0
EvidenceModeler,annotation,Perl,Gene structure combination,5.24,4.94,6.1,6.13,2.88,active,55.9
NovoAlign,alignment,C,Short read alignment,4.35,5.36,5.2,6.19,2.76,active,55.75
PASA,annotation,Perl/C++,Transcript assembly,4.41,5.55,6.4,6.3,3.59,active,55.74
Canu,assembly,Perl/C++,Long-read assembly,5.32,5.09,5.5,5.89,2.12,active,55.53
Segway,epigenomics,Python,Genome segmentation,6.43,5.99,9.4,5.67,3.09,active,55.36
LUMPY,variant_calling,C++,Structural variant caller,4.74,6.29,7.9,6.06,3.9,active,54.91
Homer,epigenomics,Perl/C++,Motif discovery,4.92,4.37,3.7,6.09,2.31,active,54.91
Cuffdiff,rnaseq,C++,Differential expression,6.61,5.2,7.9,5.67,2.8,active,54.77
Augustus,annotation,C++,Gene prediction,5.0,6.35,7.9,5.9,3.58,active,54.59
RAST,annotation,Perl,Rapid annotation,4.67,4.79,5.2,6.31,3.85,active,54.32
Ray,assembly,C++,Parallel assembly,6.46,5.98,9.4,5.66,3.64,active,54.2
seqtk,qc,C,FASTA/Q processing,4.21,5.57,7.6,6.63,5.95,active,53.96
minimap2,alignment,C,Long-read alignment,4.48,6.12,8.8,6.46,5.96,active,53.88
DISCOVAR,assembly,C++,Variant detection assembly,4.6,6.05,9.1,6.49,6.24,maintenance,53.77
Subread,alignment,C,Read alignment and counting,5.2,5.02,4.6,5.81,2.48,active,53.58
Trim Galore,qc,Perl,Quality and adapter trimming,5.08,6.48,10.0,6.22,6.06,active,53.2
wtdbg2,assembly,C,Long-read assembly,5.07,5.39,4.9,5.75,2.72,active,52.98
BWA,alignment,C,DNA sequence alignment,4.34,7.36,10.0,6.15,6.07,active,52.76
limma,rnaseq,R,Differential expression,6.77,6.11,9.4,5.44,3.83,active,52.5
mothur,metagenomics,C++,Microbial ecology,5.12,6.5,9.1,6.01,5.48,active,52.38
Sickle,qc,C,Quality trimming,5.8,6.01,8.8,5.85,4.94,active,52.29
DeepVariant,variant_calling,Python/C++,Deep learning variant caller,7.22,5.85,8.8,5.22,3.21,active,51.97
Control-FREEC,variant_calling,C++,CNV detection,4.78,5.21,5.2,6.04,4.34,active,51.75
IQ-TREE,phylogenetics,C++,Phylogenetic inference,5.68,6.3,9.4,5.89,5.75,active,51.36
GeneMark,annotation,C,Gene prediction,5.3,5.52,7.3,6.05,5.43,active,51.28
FGENESH,annotation,C,Gene prediction,4.0,4.55,3.1,6.34,4.64,active,51.27
fastx_toolkit,qc,C++,FASTA/Q processing,7.25,5.57,7.3,5.05,2.57,active,51.0
Strelka,variant_calling,C++,Small variant caller,7.13,6.41,10.0,5.23,4.32,active,50.74
EIGENSOFT,population_genetics,C,Population stratification,6.35,6.6,9.4,5.4,4.82,active,50.31
IDBA,assembly,C++,Multiple k-mer assembly,4.81,7.93,10.0,5.63,5.82,active,50.14
Cufflinks,rnaseq,C++,Transcript assembly,6.99,6.2,9.1,5.22,4.28,active,50.07
SNAP,annotation,C,Gene prediction,6.36,5.02,7.0,5.71,5.04,active,49.78
MEGAN,metagenomics,Java,Metagenome analysis,6.75,6.3,10.0,5.47,5.55,active,49.75
MrBayes,phylogenetics,C,Bayesian phylogenetics,5.68,6.54,9.1,5.71,5.92,maintenance,49.7
